# baseline: x,y,z [m, scene axes] + qx,qy,qz,qw (camD-optical cam-to-world)
# run with STRESS=1 VIO_MOTION_S=60.8 VIO_FPS=20 (knots every 1.401 s of lap time, 42 knots, lap 58.8 s, circuit 72.7 m)
12.920676,0.146383,-5.496904,0.840181,0.001698,-0.542176,-0.011754
11.941104,0.173416,-6.083930,0.871372,0.000986,-0.490480,-0.011835
10.615530,0.208515,-6.880536,0.869176,0.001038,-0.494360,-0.011831
8.933869,0.249585,-7.831225,0.850516,0.001470,-0.525815,-0.011785
7.061737,0.267861,-8.311487,-0.672737,-0.004660,0.739786,0.010924
5.380669,0.219964,-7.396037,-0.377530,-0.008130,0.925921,0.008657
4.147478,0.150745,-5.869458,-0.305275,-0.008771,0.952190,0.008007
3.029276,0.087932,-4.260997,-0.297253,-0.008839,0.954725,0.007933
1.911089,0.039114,-2.652008,-0.299621,-0.008819,0.953984,0.007954
0.788693,0.000269,-1.038845,-0.298162,-0.008831,0.954441,0.007941
-0.321134,-0.035274,0.576271,-0.294544,-0.008861,0.955564,0.007907
-1.413932,-0.070912,2.202927,-0.285461,-0.008936,0.958317,0.007823
-2.448767,-0.106498,3.866843,-0.261670,-0.009126,0.965084,0.007600
-3.402743,-0.138374,5.584956,-0.244465,-0.009260,0.969585,0.007436
-4.378728,-0.159653,7.283972,-0.277410,-0.009001,0.960678,0.007748
-5.504297,-0.168260,8.887456,-0.323391,-0.008617,0.946191,0.008173
-6.741308,-0.172755,10.414293,-0.335389,-0.008513,0.942005,0.008281
-7.751699,-0.181589,11.670360,-0.328229,-0.008575,0.944523,0.008217
-8.449037,-0.190496,12.537782,-0.442688,-0.007491,0.896597,0.009215
-9.367533,-0.182761,12.600452,0.870927,0.000996,-0.491269,-0.011834
-9.733137,-0.160875,11.754626,0.994908,-0.006002,0.100084,-0.010248
-9.173547,-0.149355,10.890362,0.945801,-0.008183,0.324528,-0.008607
-8.331524,-0.141010,9.834554,0.942739,-0.008263,0.333320,-0.008531
-7.202515,-0.135699,8.451368,0.942321,-0.008273,0.334499,-0.008520
-6.027039,-0.130888,6.883993,0.956233,-0.007887,0.292364,-0.008879
-5.016581,-0.113838,5.205582,0.968678,-0.007470,0.248037,-0.009233
-4.076216,-0.083941,3.486228,0.966760,-0.007540,0.255408,-0.009175
-3.061222,-0.049006,1.803574,0.959942,-0.007771,0.279945,-0.008980
-1.979098,-0.013546,0.169832,0.955869,-0.007898,0.293554,-0.008869
-0.873070,0.021824,-1.447893,0.954773,-0.007931,0.297099,-0.008840
0.247236,0.059010,-3.062545,0.954026,-0.007953,0.299490,-0.008820
1.367270,0.103889,-4.670368,0.954329,-0.007944,0.298521,-0.008828
2.481552,0.162416,-6.281742,0.954165,-0.007949,0.299044,-0.008824
3.648207,0.228197,-7.854668,0.941032,-0.008306,0.338108,-0.008489
5.057831,0.281754,-9.212410,0.886332,-0.009383,0.462898,-0.007281
6.870182,0.303542,-9.895376,0.740648,-0.010918,0.671788,-0.004674
8.794420,0.289162,-9.636277,0.576394,-0.011674,0.817085,-0.002182
10.550280,0.252637,-8.771571,0.501409,-0.011822,0.865129,-0.001135
12.163607,0.210875,-7.819493,0.492229,-0.011833,0.870385,-0.001009
13.337774,0.178712,-7.110810,0.493613,-0.011832,0.869601,-0.001028
14.080245,0.155613,-6.455491,0.170173,-0.011481,0.985343,0.003037
13.838523,0.138811,-5.566815,-0.428463,-0.007636,0.903481,0.009096
