# extreme: x,y,z [m, scene axes] + qx,qy,qz,qw (camD-optical cam-to-world)
# run with STRESS=1 VIO_MOTION_S=31.8 VIO_FPS=45 (knots every 0.351 s of lap time, 85 knots, lap 29.8 s, circuit 72.7 m)
12.917331,-0.191644,-5.504205,0.840181,0.001698,-0.542176,-0.011754
12.255984,-0.172078,-5.898729,0.870313,0.001011,-0.492356,-0.011833
11.477716,-0.145002,-6.370177,0.870886,0.000997,-0.491342,-0.011834
10.577801,-0.109210,-6.907948,0.869084,0.001041,-0.494522,-0.011831
9.665766,-0.068233,-7.438996,0.864223,0.001156,-0.502969,-0.011820
8.743672,-0.024570,-7.926321,0.842614,0.001645,-0.538387,-0.011762
7.751530,0.018191,-8.276124,0.771425,0.003054,-0.636209,-0.011477
6.706331,0.048042,-8.253275,-0.610456,-0.005532,0.791961,0.010509
5.788021,0.060444,-7.775466,-0.440196,-0.007517,0.897823,0.009195
5.042986,0.067929,-7.030147,-0.348137,-0.008399,0.937369,0.008396
4.387679,0.077389,-6.202682,-0.313711,-0.008700,0.949444,0.008084
3.775663,0.091531,-5.342240,-0.298956,-0.008824,0.954193,0.007948
3.182691,0.112069,-4.482828,-0.297017,-0.008840,0.954798,0.007930
2.510364,0.143791,-3.509097,-0.298839,-0.008825,0.954230,0.007947
1.558463,0.201443,-2.139967,-0.299486,-0.008820,0.954027,0.007953
0.448876,0.280283,-0.536617,-0.297106,-0.008840,0.954771,0.007931
-0.662233,0.363749,1.092964,-0.293535,-0.008869,0.955875,0.007898
-1.747821,0.445543,2.739588,-0.279284,-0.008986,0.960135,0.007765
-2.717103,0.519832,4.356467,-0.254658,-0.009181,0.966958,0.007533
-3.291452,0.565704,5.405469,-0.244280,-0.009262,0.969632,0.007434
-3.597645,0.590411,5.974006,-0.247714,-0.009235,0.968760,0.007467
-3.764344,0.603655,6.276939,-0.252116,-0.009201,0.967624,0.007509
-3.857682,0.611000,6.441942,-0.256232,-0.009169,0.966542,0.007548
-3.909079,0.614998,6.532798,-0.258424,-0.009152,0.965959,0.007569
-3.951942,0.618308,6.608568,-0.259742,-0.009142,0.965605,0.007581
-3.996295,0.621734,6.684631,-0.261075,-0.009131,0.965246,0.007594
-4.041320,0.625206,6.760303,-0.262407,-0.009121,0.964884,0.007607
-4.086345,0.628653,6.835974,-0.264639,-0.009103,0.964274,0.007628
-4.139010,0.632654,6.924484,-0.268030,-0.009076,0.963337,0.007660
-4.235104,0.639867,7.085979,-0.271654,-0.009047,0.962322,0.007694
-4.419762,0.653571,7.379233,-0.280744,-0.008974,0.959709,0.007779
-4.765398,0.678234,7.905183,-0.295763,-0.008851,0.955187,0.007919
-5.452617,0.723055,8.852253,-0.322356,-0.008626,0.946544,0.008163
-6.621535,0.785391,10.300017,-0.335693,-0.008510,0.941897,0.008284
-7.529198,0.819336,11.425073,-0.330396,-0.008556,0.943768,0.008236
-8.140694,0.834993,12.207923,-0.326928,-0.008586,0.944975,0.008205
-8.666544,0.843644,12.685100,-0.569472,-0.006058,0.821925,0.010215
-9.337699,0.861751,12.634086,0.865054,0.001136,-0.501539,-0.011822
-9.725242,0.885610,12.075776,0.996348,-0.004016,-0.084560,-0.011177
-9.549653,0.903425,11.417882,0.960638,-0.007749,0.277550,-0.009000
-9.095025,0.912636,10.825827,0.945191,-0.008199,0.326301,-0.008592
-8.561643,0.917789,10.156819,0.943411,-0.008245,0.331412,-0.008547
