# stress: x,y,z [m, scene axes] + qx,qy,qz,qw (camD-optical cam-to-world)
# run with STRESS=1.25 VIO_MOTION_S=41.7 VIO_FPS=45 (knots every 0.706 s of lap time, 45 knots, lap 31.8 s, circuit 72.7 m)
12.920676,0.146383,-5.496904,0.840181,0.001698,-0.542176,-0.011754
11.568062,0.283239,-6.309046,0.871045,0.000993,-0.491060,-0.011835
9.893151,0.200687,-7.304882,0.865707,0.001121,-0.500411,-0.011823
7.981000,0.192220,-8.216818,-0.642160,-0.005100,0.766479,0.010726
5.904634,0.338786,-7.855570,-0.331297,-0.008548,0.943452,0.008244
4.156127,0.085624,-5.883806,-0.305693,-0.008768,0.952056,0.008010
2.781056,0.066558,-3.902277,-0.298050,-0.008832,0.954476,0.007940
1.574691,0.119629,-2.166196,-0.299505,-0.008820,0.954021,0.007953
0.770112,-0.017201,-1.012600,-0.298131,-0.008831,0.954451,0.007941
0.568039,-0.055850,-0.721731,-0.297457,-0.008837,0.954661,0.007934
0.479455,-0.071206,-0.593687,-0.297234,-0.008839,0.954731,0.007932
0.390998,-0.085152,-0.465678,-0.296834,-0.008842,0.954855,0.007929
0.291416,-0.098876,-0.321499,-0.296494,-0.008845,0.954961,0.007926
-0.042504,-0.126278,0.164711,-0.295450,-0.008853,0.955284,0.007916
-1.075525,-0.040503,1.692465,-0.289536,-0.008902,0.957093,0.007861
-2.228182,-0.021889,3.498037,-0.267649,-0.009079,0.963443,0.007656
-3.461165,-0.240093,5.689909,-0.245009,-0.009256,0.969448,0.007441
-4.773230,-0.086370,7.889066,-0.295772,-0.008851,0.955185,0.007919
-6.079356,-0.153644,9.606123,-0.335673,-0.008510,0.941904,0.008284
-7.364082,-0.274834,11.180959,-0.331242,-0.008549,0.943471,0.008244
-8.359504,-0.168089,12.447082,-0.392525,-0.007989,0.919665,0.008788
-9.585074,-0.076246,12.399695,0.948183,-0.001262,-0.317502,-0.011809
-9.353001,-0.133093,11.124594,0.946935,-0.008153,0.321206,-0.008636
-8.326487,-0.239680,9.824940,0.942726,-0.008263,0.333357,-0.008530
-7.061282,-0.115116,8.278416,0.943294,-0.008248,0.331747,-0.008544
-5.812947,-0.051504,6.562206,0.959188,-0.007796,0.282520,-0.008960
-4.760942,-0.198018,4.729061,0.969625,-0.007435,0.244307,-0.009261
-3.722362,-0.064838,2.878445,0.964195,-0.007630,0.264930,-0.009101
-2.592442,0.051921,1.087530,0.957552,-0.007847,0.288014,-0.008915
-2.010723,-0.013257,0.216549,0.955889,-0.007898,0.293487,-0.008870
-1.863949,-0.033597,-0.000640,0.955794,-0.007901,0.293797,-0.008867
-1.776999,-0.045014,-0.128990,0.955698,-0.007903,0.294109,-0.008865
-1.689546,-0.055639,-0.258051,0.955599,-0.007906,0.294432,-0.008862
-1.568888,-0.068316,-0.435635,0.955508,-0.007909,0.294726,-0.008859
-1.111974,-0.085651,-1.104312,0.955026,-0.007924,0.296284,-0.008847
0.052801,0.087885,-2.782192,0.954086,-0.007951,0.299298,-0.008821
1.295471,0.162998,-4.564588,0.954287,-0.007946,0.298655,-0.008827
2.781803,0.083861,-6.713606,0.952660,-0.007993,0.303807,-0.008784
4.371313,0.351268,-8.648341,0.920210,-0.008777,0.391244,-0.008001
6.170538,0.294314,-9.752611,0.802524,-0.010411,0.596501,-0.005715
8.265091,0.210413,-9.795697,0.866842,-0.009670,0.498441,-0.006894
10.203445,0.345720,-8.967337,0.507741,-0.011813,0.861428,-0.001221
12.003750,0.226583,-7.915564,0.492837,-0.011833,0.870041,-0.001018
13.463345,0.075370,-7.037856,0.491785,-0.011834,0.870636,-0.001003
14.081031,0.120493,-5.919931,-0.170309,-0.009797,0.985319,0.006713
